wandb:
wandb: Plotting decision_tree_Entropy.
wandb: Logged feature importances.
wandb: Logged confusion matrix.
wandb: Logged summary metrics.
wandb: Logged class proportions.
wandb: WARNING This function only supports binary classification at the moment and therefore expects labels to be binary. Skipping calibration curve.
wandb: Logged calibration curve.
wandb: Logged roc curve.
wandb: Logged precision-recall curve.
              precision    recall  f1-score   support
           1       0.94      0.94      0.94       195
           2       0.79      0.80      0.80       199
           3       0.90      0.85      0.87       182
           4       0.85      0.90      0.87       207
           5       0.85      0.89      0.87       203
           6       0.88      0.83      0.85       210
           7       0.86      0.82      0.84       226
           8       0.79      0.81      0.80       196
           9       0.92      0.92      0.92       188
          10       0.87      0.88      0.88       172
          11       0.81      0.82      0.81       167
          12       0.91      0.93      0.92       201
          13       0.90      0.92      0.91       185
          14       0.92      0.89      0.90       178
          15       0.84      0.84      0.84       179
          16       0.89      0.90      0.90       206
          17       0.87      0.84      0.85       189
          18       0.79      0.77      0.78       190
          19       0.81      0.86      0.84       185
          20       0.89      0.90      0.90       197
          21       0.93      0.91      0.92       207
          22       0.89      0.93      0.91       183
          23       0.94      0.91      0.92       176
          24       0.88      0.87      0.87       204
          25       0.91      0.90      0.91       184
          26       0.96      0.91      0.93       191
    accuracy                           0.87      5000
   macro avg       0.88      0.87      0.87      5000
weighted avg       0.88      0.87      0.87      5000
              precision    recall  f1-score   support
           1       0.94      0.94      0.94       195
           2       0.79      0.80      0.80       199
           3       0.90      0.85      0.87       182
           4       0.85      0.90      0.87       207
           5       0.85      0.89      0.87       203
           6       0.88      0.83      0.85       210
           7       0.86      0.82      0.84       226
           8       0.79      0.81      0.80       196
           9       0.92      0.92      0.92       188
          10       0.87      0.88      0.88       172
          11       0.81      0.82      0.81       167
          12       0.91      0.93      0.92       201
          13       0.90      0.92      0.91       185
          14       0.92      0.89      0.90       178
          15       0.84      0.84      0.84       179
          16       0.89      0.90      0.90       206
          17       0.87      0.84      0.85       189
          18       0.79      0.77      0.78       190
          19       0.81      0.86      0.84       185
          20       0.89      0.90      0.90       197
          21       0.93      0.91      0.92       207
          22       0.89      0.93      0.91       183
          23       0.94      0.91      0.92       176
          24       0.88      0.87      0.87       204
          25       0.91      0.90      0.91       184
          26       0.96      0.91      0.93       191
    accuracy                           0.87      5000
   macro avg       0.88      0.87      0.87      5000
